Time,Temperature,Sound,Light,Pressure,Humidity,Comment
s,°C,dBA,lx,kPa,%RH,

380.16,34.9,63.3,117,97.12,61.9,
382.08,34.9,71.1,117,97.15,61.8,
384,34.9,68.3,117,97.15,61.8,
385.92,34.9,61.9,117,97.16,61.8,
387.84,34.9,40.0,117,97.15,61.7,
389.76,34.9,74.9,117,97.14,61.7,
391.68,34.9,40.0,117,97.13,61.8,
393.6,34.9,51.6,117,97.12,61.8,
395.52,34.9,66.0,117,97.12,61.8,
397.44,34.9,64.5,118,97.12,61.7,
399.36,34.9,40.0,118,97.15,61.7,
401.28,34.9,40.0,117,97.16,61.7,
403.2,34.9,52.1,117,97.17,61.7,
405.12,34.9,55.4,119,97.13,61.7,
407.04,34.9,57.0,119,97.15,61.7,
408.96,34.9,64.3,117,97.12,61.7,
410.88,34.9,40.0,118,97.14,61.7,
412.8,34.9,64.5,118,97.13,61.7,
414.72,34.9,68.1,119,97.16,61.6,
416.64,34.9,58.0,120,97.13,61.6,
418.56,34.9,61.4,120,97.12,61.6,
420.48,34.9,44.1,120,97.15,61.6,
422.4,34.9,40.0,120,97.15,61.6,
424.32,34.9,51.4,120,97.13,61.6,
426.24,34.9,40.0,120,97.12,61.6,
428.16,34.9,44.5,119,97.13,61.6,
430.08,34.9,40.0,119,97.15,61.7,
432,35.0,41.0,119,97.14,61.7,
433.92,35.0,66.6,119,97.15,61.6,
435.84,35.0,78.8,119,97.18,61.6,
437.76,35.0,58.7,119,97.14,61.5,
439.68,35.0,71.0,119,97.13,61.4,
441.6,35.0,73.5,120,97.12,61.4,
443.52,35.0,59.1,118,97.16,61.3,
445.44,35.0,58.2,119,97.15,61.2,
447.36,35.0,70.4,119,97.14,61.1,
449.28,35.0,40.0,118,97.15,61.0,
451.2,35.0,50.7,118,97.10,60.8,
453.12,35.0,69.1,119,97.14,60.7,
455.04,35.0,59.2,119,97.13,60.6,
456.96,35.0,53.4,119,97.15,60.5,
458.88,35.0,67.6,119,97.16,60.4,
460.8,35.0,72.1,119,97.14,60.3,
462.72,35.0,40.0,119,97.18,60.3,
464.64,35.0,40.0,118,97.14,60.2,
466.56,35.0,62.7,120,97.14,60.2,
468.48,35.0,60.3,120,97.12,60.1,
470.4,35.0,58.9,120,97.14,60.1,
472.32,35.0,69.1,120,97.12,60.1,
474.24,35.0,63.5,120,97.14,60.1,
476.16,35.0,55.8,120,97.14,60.0,
478.08,35.0,72.1,120,97.15,60.0,
480,35.0,40.0,119,97.19,59.9,
481.92,35.1,72.2,119,97.13,59.9,
483.84,35.0,57.7,119,97.13,59.8,
485.76,35.1,60.6,119,97.11,59.8,
487.68,35.1,65.2,120,97.13,59.7,
489.6,35.1,59.1,121,97.13,59.6,
491.52,35.1,62.4,120,97.12,59.6,
493.44,35.1,53.0,120,97.15,59.5,
495.36,35.1,43.7,120,97.15,59.5,
497.28,35.1,72.5,120,97.15,59.4,
499.2,35.1,62.4,120,97.14,59.4,
501.12,35.1,40.0,120,97.12,59.4,
503.04,35.1,62.8,120,97.13,59.3,
504.96,35.1,60.5,120,97.14,59.3,
506.88,35.1,57.2,121,97.14,59.3,
508.8,35.1,57.1,121,97.14,59.3,
510.72,35.1,40.0,121,97.14,59.3,
512.64,35.1,71.4,121,97.13,59.3,
514.56,35.1,65.3,121,97.16,59.3,
516.48,35.1,71.7,121,97.13,59.4,
518.4,35.1,58.4,122,97.14,59.4,
520.32,35.1,70.3,121,97.14,59.4,
522.24,35.1,40.0,121,97.15,59.4,
524.16,35.1,71.2,117,97.15,59.4,
526.08,35.1,40.4,121,97.12,59.4,
528,35.1,45.9,120,97.16,59.4,
529.92,35.1,71.1,120,97.12,59.4,
531.84,35.1,66.9,120,97.15,59.4,
533.76,35.1,65.8,121,97.13,59.4,
535.68,35.1,69.8,120,97.14,59.4,
537.6,35.1,48.3,120,97.09,59.4,
539.52,35.1,64.5,120,97.13,59.4,
541.44,35.1,40.0,121,97.17,59.4,
543.36,35.2,74.3,121,97.12,59.3,
545.28,35.2,40.0,121,97.16,59.3,
547.2,35.2,69.6,121,97.15,59.2,
549.12,35.2,65.7,121,97.10,59.2,
551.04,35.2,63.2,121,97.14,59.1,
552.96,35.2,40.0,121,97.15,59.1,
